ID,log2FC
UFD1,0.978734609
CNOT4,1.193095532
UBA1,1.52348952
RL40,0.862819893
OS9,-1.088218657
RN19A,0.742150566
MYLIA,1.475316207
CBL,1.131352919
UBCD1,-1.389003695
BAG6,1.540908289
BAG6,1.715456301
PSA7,1.069389524
UBQL1,0.883906805
ATE1,1.286377721
ATE1,1.01027309
UBR3,-1.517426558
CHIP,-0.812880754
DTX3L,1.482715258
BRE1B,1.177891692
NFIP1,0.96382867
PLPP3,6.01126222
CUL3B,0.663841426
UN112,-1.272220331
CDC42,7.585716016
DYST,-3.000504126
ITB1,-2.069439147
ITA8,-1.385595742
DYST,-2.59464179
LAMA5,-0.731094312
PAXI,-1.200503143
PAXI,-1.278772987
FYB1,2.550540222
GAB2,1.127559145
TLN1,-0.898950305
TLN1,-0.78881995
CIB1,1.607086265
FGR,-2.114021604
PTN11,1.495067742
ITB1A,-1.140053828
ITA4,-1.935207715
ITA9,-1.76374436
ILK,-1.335985183
ITA9,1.132555071
RIPK1,1.97203403
COMD7,-1.934053343
JNK,1.69279245
TRAF5,4.254900174
TN13B,3.87446731
LIMS1,-1.251627138
TRAF2,2.342014709
RRAGA,1.391703006
BIRC2,3.432797035
IKKA,1.149257771
RNF31,1.210450817
TRAF6,4.32209403
ILK,-1.335985183
TRAF6,2.370636826
ADA17,-0.923301887
ADA17,-1.033495211
KPCD,1.177303873
DFP3,-2.562241363
MYD88,1.972659283
CEBPB,2.483547926
PERL,4.193860099
TMF1,-0.731732873
SRC42,1.967713781
RGLG4,1.789852692
DHX15,0.671305978
HOIL1,0.786001229
MPEG1,3.372129729
NAGK,1.020607705
NLRC4,1.828115645
BCL3,2.931792718
CASP7,4.159212674
PLAC8,1.229311929
ZNFX1,0.912561763
RAB14,1.123382499
NOTC2,3.581707253
RAB1A,1.146082592
WAP1,2.912097504
STAB2,1.131106133
RNF31,1.210450817
RNF31,1.038123791
BCL3,2.879995209
CLC4E,5.768425808
CASP7,6.398084833
ANR17,8.337676709
RS11,0.913319747
RL13A,0.985543896
RL44,0.82746775
RL12,0.861634716
RL27A,0.707643877
RL18A,0.974428719
RL22,0.898297033
EF1A1,0.707828057
RACK1,0.591127873
RS4,0.723256036
RS3A,0.523398748
RS3A,0.663734351
RL28,0.856418097
RS8,0.811761196
RL31,1.058910817
RL27,1.160551366
RS30,1.001678872
RS27A,0.866579261
SRBD1,-0.89301244
RS13,1.138822661
RS15,0.840676075
RS17,0.671793234
RS19,0.756051906
RS5,0.989465064
RLA0,0.86444335
ERF3A,1.479002933
RL9,0.882108911
RS18,0.957528482
RL4,0.506940738
RL23,0.92162057
RL14,0.913029484
RS27L,1.217802382
RL13,0.905516974
RS15A,1.087817903
RL40,0.862819893
RS6,0.590650832
RS9,1.315019675
RS24,0.957441498
