Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
PSC-19_R1_001	23469776.0	8920875.0	14548901.0	38.01005599712583	290.263
PSC-23_R1_001	23607269.0	8688520.0	14918749.0	36.804426636558425	299.313
PSC-24_R1_001	22748556.0	7922998.0	14825558.0	34.82857549287964	299.105
PSC-34_R1_001	28383132.0	8724708.0	19658424.0	30.739060086814945	304.469
PSC-35_R1_001	26379746.0	8215124.0	18164622.0	31.141785823108382	308.95
PSC-36_R1_001	21277746.0	5692157.0	15585589.0	26.751691650046016	286.341
PSC-37_R1_001	17154009.0	5522610.0	11631399.0	32.19428181482241	298.123
PSC-38_R1_001	28364962.0	9617181.0	18747781.0	33.90514325384959	299.335
PSC-39_R1_001	22631446.0	4742595.0	17888851.0	20.95577542857845	284.353
PSC-40_R1_001	21152503.0	6833185.0	14319318.0	32.3043802428488	305.539
PSC-42_R1_001	20804015.0	7850914.0	12953101.0	37.737494421148995	310.057
PSC-43_R1_001	22105954.0	8492847.0	13613107.0	38.418821463213035	309.073
PSC-48_R1_001	19277387.0	7296993.0	11980394.0	37.85260419371153	292.139
PSC-49_R1_001	21854798.0	8374757.0	13480041.0	38.319992708237336	300.67
PSC-52_R1_001	22093640.0	8387810.0	13705830.0	37.964817024265805	295.924
PSC-54_R1_001	25091718.0	9652866.0	15438852.0	38.47032714140977	279.314
PSC-56_R1_001	20798136.0	6685134.0	14113002.0	32.142947810323	306.746
PSC-57_R1_001	22483440.0	8645020.0	13838420.0	38.45061076063094	318.859
PSC-58_R1_001	22500789.0	8593570.0	13907219.0	38.1923051676099	309.683
PSC-59_R1_001	22471547.0	8368609.0	14102938.0	37.240911807273434	308.637
PSC-61_R1_001	19883194.0	7554668.0	12328526.0	37.995243621321606	312.116
PSC-63_R1_001	21332723.0	8176299.0	13156424.0	38.32749808826562	327.886
PSC-64_R1_001	24101501.0	9244006.0	14857495.0	38.354482569363626	305.442
PSC-67_R1_001	24528314.0	8398300.0	16130014.0	34.239206168022804	292.308
PSC-69_R1_001	22802409.0	8249143.0	14553266.0	36.17662940788405	319.84
PSC-71_R1_001	26600124.0	8713546.0	17886578.0	32.75753902500605	310.368
PSC-73_R1_001	25168443.0	9606686.0	15561757.0	38.16956813736948	312.522
PSC-75_R1_001	24371724.0	5614859.0	18756865.0	23.038415337380318	302.735
PSC-76_R1_001	22423230.0	8453249.0	13969981.0	37.698623258112235	314.181
PSC-78_R1_001	21462348.0	6853218.0	14609130.0	31.931352524896155	285.592
PSC-81_R1_001	25846623.0	9718992.0	16127631.0	37.60256030352592	295.697
PSC-83_R1_001	25489092.0	9603703.0	15885389.0	37.67769758138109	288.592
