"PSC.0228"	"PSC.0187"	"PSC.0188"	"PSC.0174"	"PSC.0190"	"PSC.0231"	"PSC.0230"	"PSC.0219"	"PSC.0177"	"PSC.0186"	"PSC.0209"	"PSC.0203"
"g22873.t1"	4	0	0	2	0	0	0	1	0	0	0	0
"g19288.t1"	13	69	33	37	13	18	107	83	132	138	49	105
"g18250.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g9005.t1"	16	68	40	17	8	26	208	146	90	76	119	76
"g14098.t1"	303	533	574	9	120	571	196	96	27	24	0	92
"g22871.t1"	16	9	17	71	28	0	6	0	24	0	0	10
"g3358.t1"	9496	4309	5259	8039	5749	4833	5240	2479	3800	3422	4976	2987
"g6654.t1"	755	751	700	348	453	480	1067	703	609	756	986	502
"g4796.t1"	181	218	213	203	438	273	207	108	181	223	233	227
"g12940.t1"	13	11	0	0	0	19	5	6	0	0	0	5
"g20552.t1"	157	76	52	1	68	114	62	6	6	3	0	29
"g717.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g2705.t1"	875	377	557	2917	323	758	301	291	347	153	127	250
"g3397.t1"	656	975	399	140	150	405	384	146	385	426	595	343
"g21311.t1"	66	160	52	6	0	42	33	39	6	33	79	51
"g2478.t1"	32263	11927	9616	5849	37053	25100	134	469	551	76	206	158
"g1538.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g19279.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g15804.t1"	5	0	0	0	0	0	5	0	0	0	0	0
"g15089.t1"	268	271	151	71	45	73	322	257	317	332	481	199
"g7134.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g16508.t1"	300	467	233	121	92	48	87	134	116	209	196	66
"g21330.t1"	39	90	146	2	7	199	4	31	38	9	12	9
"g5848.t1"	3	0	0	7	0	0	4	0	2	0	0	0
"g17193.t1"	46	125	44	5	4	24	43	69	6	39	0	68
"g18769.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g12205.t1"	143	357	119	10	8	22	524	206	108	124	52	136
"g14101.t1"	15	20	49	0	0	15	43	16	10	8	0	11
