"PSC.0228"	"PSC.0187"	"PSC.0188"	"PSC.0174"	"PSC.0190"	"PSC.0231"	"PSC.0230"	"PSC.0219"	"PSC.0177"	"PSC.0186"	"PSC.0209"	"PSC.0203"
"g21501.t1"	0	0	5	0	0	20	69	5	6	0	0	0
"g1012.t1"	49	32	22	110	46	30	139	65	46	77	53	56
"g24165.t1"	0	0	0	0	4	0	0	0	0	0	0	0
"g21995.t1"	999	5650	2185	54	120	2215	557	63	82	24	198	174
"g9361.t1"	93	485	260	62	27	229	421	586	713	987	614	301
"g15520.t1"	305	181	322	258	182	178	618	362	368	436	441	261
"g14113.t1"	0	5	0	0	0	0	17	0	0	0	0	0
"g639.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g2399.t1"	261	195	207	315	168	127	549	432	418	412	449	346
"g2545.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g23700.t1"	1965	1599	1333	1149	1012	1207	1910	876	989	945	853	735
"g22308.t1"	1949	1070	1278	2782	4547	2361	772	655	992	511	206	209
"g22308.t2"	491	322	459	22	105	619	446	105	37	80	645	463
"g2167.t1"	134	81	292	44	0	89	496	40	0	84	16	143
"g9798.t1"	5	6	0	8	3	6	0	13	0	0	0	5
"g20201.t1"	5	0	0	5	0	3	34	0	0	0	76	188
"g3031.t1"	125	79	26	0	0	0	100	0	0	0	0	72
"g3031.t2"	54	48	29	0	0	0	9	35	0	0	0	74
"g16039.t1"	0	0	0	0	0	22	0	0	0	0	0	0
"g15928.t2"	13	10	40	7	0	33	29	0	39	0	0	143
"g22435.t2"	94	6	0	74	18	0	73	95	149	0	0	59
"g22572.t1"	0	6	0	6	0	0	18	18	0	38	0	7
"g23559.t1"	5	21	16	0	4	4	66	57	25	74	0	74
"g10703.t1"	0	1	0	0	0	0	0	0	0	0	0	0
"g10546.t1"	10	4	4	30	3	28	29	14	25	25	33	38
"g12830.t1"	39	13	37	14	23	10	87	73	81	322	202	148
"g23543.t1"	23	17	6	3	30	35	0	0	0	0	0	0
"g18644.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g13307.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g19668.t1"	634	501	503	756	252	491	1001	732	890	731	1082	668
"g14964.t1"	11	0	0	4	0	0	0	0	0	0	0	0
"g21837.t1"	100	123	27	3	2	4	25	3	0	0	0	51
"g3033.t1"	193	182	201	123	153	182	103	107	68	53	36	67
"g11848.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g7047.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g10544.t1"	19	18	21	45	21	17	553	477	205	455	351	223
"g18142.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g12832.t1"	91	339	196	53	26	394	348	212	192	246	181	120
"g977.t1"	8	4	22	15	0	3	4	19	9	3	19	10
"g6768.t2"	291	483	336	55	0	499	400	184	166	101	358	189
"g6768.t1"	254	657	318	237	123	317	331	289	181	338	16	295
"g3050.t1"	141	147	143	191	88	108	267	161	514	415	274	80
"g975.t1"	62	53	27	83	18	24	29	32	125	48	147	58
"g23929.t1"	0	6	0	0	0	3	21	23	0	0	30	7
"g14626.t1"	0	0	0	4	0	14	0	0	0	0	16	17
"g14641.t1"	34	82	44	69	0	35	184	81	157	146	81	76
"g9051.t1"	0	1	2	0	0	0	1	0	1	0	0	0
"g12653.t2"	23	93	32	22	5	39	234	132	59	60	40	54
"g18277.t1"	311	334	254	197	74	162	638	212	274	327	651	278
"g14624.t1"	40	12	0	0	0	16	0	0	0	0	0	2
"g13452.t1"	0	3	0	0	3	0	0	0	5	0	0	0
"g17938.t1"	5	0	0	0	0	0	0	0	0	0	0	2
"g6447.t1"	14	10	36	12	0	8	78	28	13	168	13	34
"g8459.t1"	80	92	114	76	38	139	174	114	78	206	90	205
"g21835.t3"	0	0	0	0	0	0	0	0	0	0	0	0
"g21835.t2"	0	0	0	0	0	0	0	0	0	0	0	0
"g21835.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g3085.t1"	0	5	0	2	0	0	13	0	0	1	2	8
"g21835.t4"	0	0	0	0	0	0	0	0	0	0	0	0
"g2982.t1"	0	12	0	2	13	2	0	16	20	4	16	27
"g23202.t1"	0	0	4	2	8	0	7	5	0	18	0	6
"g1292.t1"	0	2	0	8	0	0	47	43	3	39	0	3
"g13727.t1"	0	0	0	0	2	0	1	0	1	0	0	0
"g15976.t1"	3299	2106	1812	3291	2703	2322	2400	1582	2115	1814	1612	1524
"g2717.t1"	99	442	200	7	0	138	171	59	26	41	43	353
"g3087.t1"	217	1319	487	3	0	272	14	122	10	56	0	42
"g6445.t1"	2211	1451	1602	2706	2327	2143	3449	2382	2483	2908	3190	2498
"g12370.t1"	105	145	41	77	39	27	155	105	64	156	113	107
"g23200.t1"	0	0	2	0	0	0	9	5	7	6	14	0
"g15953.t1"	9	10	11	0	3	11	25	21	39	7	0	4
"g20449.t1"	694	689	733	1220	1746	570	993	674	636	979	414	473
"g15453.t1"	0	0	0	0	1	0	1	0	0	1	0	0
"g5886.t1"	521	669	388	9	94	114	125	91	149	95	0	68
"g5993.t1"	1	2	7	4	3	34	3	3	3	6	10	4
"g722.t1"	14	42	4	30	21	20	12	20	6	15	40	38
"g15951.t1"	11	99	18	10	15	0	38	66	56	95	5	50
"g11122.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g1305.t1"	77	252	67	18	19	102	140	68	54	142	0	86
"g288.t1"	1	0	2	0	4	2	3	0	0	0	0	0
"g1851.t1"	0	0	0	4	0	0	3	0	0	0	0	0
"g5782.t1"	0	0	0	1	0	0	0	79	0	0	0	0
"g5782.t3"	60	470	110	52	87	237	104	1	41	33	17	28
"g5782.t2"	160	144	30	150	209	13	3	8	0	0	0	0
"g720.t1"	763	332	459	213	321	753	153	83	137	109	157	102
"g4200.t1"	183	150	176	297	255	241	355	98	120	193	38	170
"g13889.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g17292.t1"	261	226	133	384	133	144	194	100	249	208	83	152
"g8554.t1"	169	281	212	101	71	223	268	217	175	261	252	192
"g7435.t1"	0	6	0	0	0	0	96	6	6	97	0	13
"g18878.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g17290.t2"	14	55	29	0	0	27	43	73	83	28	57	56
"g17290.t1"	17	0	19	14	8	18	50	8	0	69	0	12
"g14407.t1"	33	19	14	25	36	22	104	62	54	42	0	23
"g21517.t1"	250	208	244	179	96	60	269	207	175	275	315	341
"g13725.t1"	890	874	478	514	611	571	697	468	388	575	691	448
"g11327.t1"	27	31	20	0	0	8	49	0	9	0	0	23
"g15261.t1"	209	168	146	26	41	57	494	228	115	326	242	202
"g15186.t1"	36	47	142	13	10	321	82	10	27	0	0	81
"g17838.t1"	890	1128	814	912	447	1020	1453	894	917	1736	527	1216
"g2256.t1"	46	43	32	54	16	26	129	123	89	185	216	104
"g21978.t1"	0	0	0	0	0	0	2	0	0	0	0	0
"g14921.t1"	0	0	0	0	0	0	0	0	3	0	0	0
"g14921.t2"	0	0	0	0	0	0	0	0	0	0	0	0
"g1307.t2"	25	11	48	0	0	12	25	0	0	25	0	121
"g11120.t2"	99	194	51	15	68	246	208	187	123	204	153	301
"g11120.t1"	0	0	279	0	0	0	0	0	0	0	0	0
"g1307.t1"	143	110	114	52	156	371	226	45	10	5	55	42
"g1853.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g11366.t1"	533	328	355	515	401	435	338	136	142	149	229	211
"g5043.t1"	210	65	158	216	81	165	212	202	257	196	191	138
"g18222.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g16119.t1"	49	188	156	25	21	36	248	220	78	167	152	153
"g16119.t2"	0	3	0	26	16	0	400	290	95	199	0	187
"g10938.t1"	29	25	127	0	8	78	23	3	5	5	0	0
"g14923.t1"	42	65	44	0	0	24	19	7	38	12	0	23
"g1774.t1"	386	602	399	0	157	172	266	313	0	204	26	314
"g1774.t2"	942	621	646	411	632	1065	879	335	626	643	671	528
"g5041.t4"	0	1	1	0	0	1	0	0	0	0	0	3
"g5041.t1"	947	1068	1184	748	329	443	3021	1660	2731	2051	2838	1605
"g19018.t1"	177	82	158	38	113	78	279	127	58	209	99	70
"g5041.t3"	1	1	1	1	1	1	1	1	1	1	0	1
"g5041.t2"	301	681	646	606	242	1740	1482	1148	1054	936	1246	1377
"g7437.t1"	5	4	0	2	0	0	0	10	10	0	0	0
"g1918.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g1918.t2"	85	221	224	11	18	23	72	80	27	44	0	93
"g13699.t1"	8	26	20	6	17	0	191	49	20	95	10	108
"g24058.t1"	536	322	149	78	746	214	113	80	28	131	0	98
"g15032.t1"	176	349	1297	45	6	919	275	270	128	306	194	271
"g10730.t1"	31	88	21	0	0	14	32	142	0	0	0	13
"g13756.t1"	433	346	857	615	426	1568	491	448	598	361	261	299
"g12344.t1"	0	2	37	0	0	56	1	0	0	0	0	3
"g12309.t1"	119	16	28	3	34	8	15	14	32	10	18	27
"g7638.t1"	169	76	104	298	78	101	365	186	174	264	94	168
"g23413.t1"	0	0	0	0	0	0	4	2	0	0	0	0
"g10138.t1"	153	55	125	199	83	72	437	281	314	264	316	257
"g1290.t1"	1234	340	572	345	300	362	517	210	323	319	233	257
"g23470.t1"	11	3	10	5	3	0	25	10	16	17	3	16
"g8821.t1"	55	34	32	61	9	26	160	143	103	131	69	104
"g22118.t1"	19	0	0	0	0	0	0	13	6	0	10	0
"g185.t1"	0	0	0	2	0	0	4	0	0	0	0	0
"g6008.t1"	374	58	28	79	12	58	5	111	146	46	231	38
"g5902.t1"	164	17	69	0	0	8	13	0	4	7	0	42
"g18220.t1"	4	35	0	0	0	1	5	0	0	0	0	0
"g15013.t1"	0	0	6	3	0	0	12	0	0	10	0	3
"g20884.t1"	726	1055	1111	928	348	528	1490	1235	1491	1418	1914	1221
"g9251.t1"	0	0	0	0	0	0	0	3	0	0	0	0
"g15849.t1"	6	14	0	0	4	0	5	5	0	6	4	14
"g2437.t1"	2	2	42	0	3	50	0	0	4	0	0	4
"g13662.t1"	238	181	141	128	88	81	424	372	308	375	366	219
"g15263.t1"	13	13	6	0	0	0	20	0	17	19	0	12
"g15011.t1"	17140	12647	9769	59802	15312	6053	14727	9778	7254	5921	4710	4903
"g9178.t1"	314	316	204	257	110	91	353	224	502	360	814	315
"g24155.t1"	116	278	12	0	0	0	11	5	3	0	0	6
"g23369.t1"	1865	962	1359	2871	1144	1545	998	403	425	467	2050	1018
"g23369.t2"	1137	608	291	1516	1021	380	804	991	791	853	0	572
"g11365.t2"	4248	1303	857	0	1170	0	667	279	383	223	0	429
"g20886.t1"	9	25	57	78	8	0	27	74	72	18	0	40
"g11365.t1"	2568	1951	2839	3672	3182	4317	3117	1226	959	1607	1704	2326
"g20088.t1"	66	107	79	74	23	37	150	93	69	97	184	71
"g10732.t1"	442	149	199	45	119	492	735	371	381	409	11	253
"g21630.t1"	299	143	205	809	446	226	255	239	222	202	252	230
"g20714.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g17883.t1"	26	58	31	0	0	16	164	113	107	37	0	128
"g17085.t1"	792	574	595	1152	428	485	617	484	624	555	302	558
"g3523.t1"	965	1432	1046	624	646	728	1209	748	1146	1249	806	1093
"g10957.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g20716.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g15677.t1"	187	138	81	131	59	44	197	182	115	144	139	160
"g14068.t1"	83	97	124	144	49	53	277	283	222	358	215	315
"g23411.t1"	118	60	53	54	14	19	193	144	91	137	103	82
"g8437.t2"	1963	4781	1221	668	1481	2367	375	444	24	86	245	111
"g1352.t1"	0	0	0	0	0	9	20	0	10	7	8	6
"g17788.t1"	231	198	185	148	86	189	632	287	211	421	573	369
"g16434.t1"	0	0	0	0	12	0	0	0	0	0	0	0
"g9059.t1"	14	10	14	9	0	3	20	4	9	14	0	10
"g9059.t2"	33	0	42	0	0	10	64	0	9	93	0	9
"g9059.t3"	321	498	503	147	203	259	1182	529	324	1034	465	884
"g9403.t1"	6	20	11	11	0	28	66	37	32	57	40	18
"g17599.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g3266.t1"	3255	1760	1689	1895	1932	1825	2113	1233	1093	1115	484	967
"g16436.t1"	125	84	145	126	61	124	300	257	137	270	217	244
"g12404.t1"	25	31	34	34	17	13	71	92	67	78	0	72
"g21974.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g7816.t1"	50	211	128	27	0	116	65	52	34	46	0	63
"g21063.t4"	34	0	17	0	37	6	0	0	7	0	19	29
"g21063.t5"	0	0	14	0	0	0	0	0	0	0	0	1
"g21063.t1"	0	0	0	0	0	0	0	9	0	0	0	0
"g21063.t2"	0	0	7	0	0	0	0	0	0	0	0	0
"g21063.t3"	0	0	10	0	0	0	0	3	0	0	0	0
"g14061.t1"	7	0	0	0	3	0	14	0	0	0	0	0
"g23764.t1"	0	0	0	0	0	0	4	0	0	0	0	0
"g13279.t1"	8	23	63	0	19	20	65	80	31	78	106	59
"g9420.t1"	17	239	804	0	0	1170	0	14	84	5	9	32
"g12406.t1"	18	39	3	0	0	4	12	3	5	5	0	10
"g17691.t1"	0	0	0	0	0	0	0	2	1	0	0	0
"g19008.t1"	49	61	30	50	13	20	65	35	128	97	0	33
"g6538.t1"	0	1	0	0	0	0	0	0	0	0	0	44
"g6538.t2"	27	44	24	13	7	0	118	6	9	27	0	158
"g13565.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g11936.t1"	63	50	60	0	8	17	38	0	7	0	0	35
"g23434.t1"	2	2	0	0	0	1	0	0	0	1	0	2
"g17881.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g17640.t1"	6	7	0	4	0	0	0	4	5	10	0	4
"g8430.t1"	4	0	0	0	0	0	0	0	5	0	0	0
"g11788.t1"	179	304	557	568	355	292	350	408	359	205	117	225
"g4615.t1"	17	48	10	2	0	30	19	4	8	0	36	12
"g2713.t1"	0	0	0	90	1	0	0	0	0	0	0	0
"g2181.t1"	463	279	274	193	179	188	435	228	299	292	187	302
"g22679.t1"	0	11	7	7	0	9	32	15	21	57	0	29
"g12543.t1"	1	0	0	0	0	0	0	0	0	0	28	6
"g13567.t1"	165	0	197	8	14	203	0	30	0	0	0	8
"g17642.t1"	28	15	6	30	10	14	62	27	33	63	0	21
"g17642.t2"	0	0	0	0	0	0	0	0	0	0	0	0
"g17642.t3"	0	36	31	0	0	0	100	0	0	0	0	86
"g1859.t1"	0	16	0	6	0	4	30	13	17	16	0	15
"g15922.t1"	9	17	17	7	12	6	76	39	35	66	30	43
"g2698.t1"	27	67	66	54	30	24	166	183	150	225	246	121
"g8432.t1"	2426	1793	1622	2493	2403	1672	1972	1579	1844	1185	2053	1249
"g4085.t1"	1184	1912	1108	641	662	974	1283	565	499	974	977	699
"g9401.t1"	206	197	307	189	90	223	208	216	154	192	184	161
"g5980.t1"	1773	1251	641	504	1818	712	1378	761	870	920	736	564
"g16210.t1"	40	226	188	4	0	126	428	156	123	104	91	118
"g2068.t1"	8	36	19	11	7	10	23	20	19	24	13	17
"g21267.t1"	3	2	0	2	1	4	0	0	0	0	0	30
"g15920.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g10515.t1"	54	241	155	10	0	89	130	63	17	20	0	57
"g4609.t1"	50	68	62	56	9	33	216	133	131	209	264	152
"g22163.t4"	0	67	0	0	0	0	0	0	0	0	0	0
"g16212.t1"	286	332	149	356	59	231	358	237	196	298	154	180
"g22163.t2"	0	50	10	0	0	0	3	0	0	0	0	20
"g22163.t3"	0	29	0	0	0	0	6	0	0	0	0	0
"g14648.t1"	107	115	85	136	13	78	402	196	179	210	282	150
"g17122.t1"	20	9	1	3	0	0	12	3	10	5	0	0
"g19637.t1"	572	267	220	457	217	187	370	429	357	324	167	292
"g13209.t1"	133	117	34	16	14	32	17	17	12	0	0	39
"g10517.t1"	176	91	92	78	72	123	200	149	136	159	139	83
"g1257.t1"	501	430	494	791	264	247	651	644	452	293	332	310
"g9099.t1"	277	338	328	337	125	188	489	319	311	346	220	424
"g7246.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g19635.t1"	0	0	0	4	0	0	0	0	0	0	0	0
"g15445.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g11367.t1"	779	351	376	540	543	412	456	205	167	254	295	238
"g11367.t2"	0	16	0	0	22	75	0	0	35	0	0	0
"g5955.t1"	24	17	26	0	0	0	10	0	10	13	14	0
"g21632.t1"	2414	1293	1937	1585	1554	1446	1451	1223	2081	1215	1548	1142
"g21818.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g16088.t1"	0	4	2	3	0	0	5	0	2	0	0	0
"g23443.t1"	165	208	184	139	240	178	185	130	134	297	145	150
"g7244.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g12899.t1"	553	599	491	291	203	313	896	682	327	859	569	663
"g5957.t1"	71	141	78	83	27	75	159	114	108	120	124	135
"g10154.t1"	10704	6339	9425	18696	7543	8259	20939	20597	19988	14558	10777	12892
"g21265.t1"	0	15	0	0	4	0	0	0	0	0	0	4
"g2699.t1"	450	155	334	8	194	25	91	485	475	1022	448	802
"g4768.t1"	116	210	431	86	66	213	706	422	347	951	733	663
"g23776.t1"	729	1475	572	32	47	584	273	328	74	54	115	528
"g11911.t3"	132	86	0	177	0	0	47	374	1	496	112	656
"g17806.t2"	0	0	0	0	0	0	0	0	0	0	0	0
"g4966.t3"	38	9	8	4	53	92	12	313	309	0	533	143
"g15396.t1"	169	153	222	241	99	87	381	360	292	364	297	242
"g20422.t1"	40	68	569	10	0	658	37	75	108	31	91	58
"g22087.t1"	49	64	40	55	11	25	206	81	143	131	42	128
"g1255.t1"	3	0	0	0	0	15	12	0	0	0	0	16
"g13109.t1"	3	7	0	0	0	0	0	0	0	0	0	0
"g5259.t2"	12	8	11	0	0	0	46	9	0	20	0	11
"g5259.t1"	0	0	0	0	0	0	13	0	0	0	0	0
"g850.t1"	257	228	219	209	204	214	374	240	397	281	132	201
"g17872.t1"	148	186	360	60	21	263	80	9	40	19	41	150
"g23834.t1"	4	4	8	2	0	0	23	7	4	0	0	21
"g4631.t1"	9	5	0	0	7	0	52	7	26	10	15	13
"g4371.t1"	742	347	633	363	559	645	1079	858	874	644	1121	685
"g12378.t1"	137	134	104	247	24	106	613	491	442	383	615	315
"g8257.t1"	0	3	0	0	0	0	0	2	1	0	0	0
"g22000.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g4610.t1"	295	694	472	68	63	469	423	202	123	270	135	186
"g17444.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g23462.t1"	21	11	8	17	0	5	47	14	49	12	23	41
"g21216.t1"	1	0	0	0	0	0	0	2	0	0	0	0
"g4612.t1"	18	22	30	0	0	11	22	0	5	0	0	3
"g1139.t1"	29	39	0	0	9	11	43	0	4	10	0	11
"g16672.t1"	20	127	50	0	0	49	16	27	9	13	22	59
"g16961.t1"	62	57	124	92	26	22	278	174	163	166	157	188
"g16092.t2"	1244	897	1048	2071	2274	885	960	493	429	1180	770	779
"g16092.t3"	905	2330	2	170	19	1242	38	547	45	21	49	253
"g16092.t1"	3199	1085	1763	6360	4551	2452	743	1104	472	1239	1518	699
"g1899.t1"	6	0	0	0	2	0	0	2	4	0	0	0
"g19999.t1"	94	32	127	38	45	90	48	24	38	120	0	208
"g1081.t1"	6	12	57	3	0	51	9	7	13	0	0	23
"g6160.t1"	406	1240	386	179	168	507	253	61	154	417	61	136
"g23774.t1"	30	7	0	0	0	0	88	32	19	32	8	100
"g2510.t2"	440	47	0	715	517	19	173	179	88	0	546	109
"g7746.t1"	0	0	0	8	0	0	0	0	0	0	0	0
"g18328.t1"	124	205	158	62	67	21	189	123	37	180	16	104
"g18542.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g13693.t1"	36	71	66	73	12	54	238	177	90	201	83	114
"g23988.t1"	113	87	104	88	20	58	193	180	144	170	84	100
"g22700.t1"	11	44	27	3	2	40	0	5	14	4	0	22
"g11714.t1"	63	47	40	70	20	50	88	65	51	51	32	27
"g6162.t1"	19	61	67	0	0	106	0	0	0	56	0	10
"g18540.t1"	62	77	59	18	30	38	81	74	46	125	0	52
"g3496.t1"	0	0	16	0	0	0	54	16	19	11	0	16
"g23836.t1"	9	0	0	17	0	2	9	0	15	19	0	10
"g11220.t1"	997	647	776	295	485	651	2888	1574	1499	1658	2209	1734
"g17750.t1"	75	53	52	110	23	46	342	209	230	175	229	152
"g12904.t1"	397	442	598	782	166	167	1742	1084	1010	1438	560	753
"g13637.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g8001.t1"	7	21	24	1157	29	31	17	81	15	7	36	9
"g11842.t1"	250	238	181	100	90	115	334	197	152	244	0	289
"g11842.t2"	46	15	0	0	43	23	9	0	2	7	0	17
"g4586.t1"	75	71	41	109	42	43	154	158	79	151	146	129
"g22544.t1"	249	56	20	0	17	29	0	6	14	0	10	10
"g12124.t1"	4	4	2	0	0	0	2	2	5	0	0	1
"g1358.t1"	1683	2128	15479	3899	782	2835	47844	19839	5070	14677	25087	14246
"g12906.t1"	1092	1084	894	598	139	369	558	979	946	918	1240	1310
"g335.t1"	16	23	5	0	0	5	18	20	3	11	0	13
"g5406.t1"	0	0	0	0	0	0	0	0	0	2	0	25
"g10560.t1"	107	204	97	163	97	40	1065	1223	724	1441	701	517
"g20568.t1"	110	96	148	55	16	71	246	172	56	169	239	184
"g16670.t1"	68	124	118	126	46	92	306	189	231	540	471	280
"g23460.t1"	131	136	169	195	56	144	217	161	222	201	218	208
"g9775.t1"	69	128	86	13	11	36	180	136	68	136	149	68
"g6812.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g2988.t1"	20	17	17	11	2	11	36	6	24	21	20	45
"g1705.t1"	429	275	473	438	587	303	1955	1135	617	1239	1302	930
"g1705.t2"	54	0	112	35	42	118	796	309	77	290	98	103
"g10190.t1"	383	181	585	454	601	493	670	612	660	551	971	417
"g5404.t1"	174	173	242	160	65	89	606	673	518	552	1563	478
"g10562.t1"	2795	4065	3094	1599	1462	2697	1299	1074	1234	875	975	1063
"g20935.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g9777.t1"	5	23	0	0	0	0	24	0	0	1	0	0
"g11056.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g11073.t1"	65	85	73	40	23	57	102	80	42	122	0	88
"g22702.t1"	226	177	241	114	69	33	149	203	161	142	105	162
"g21106.t1"	163	265	201	164	80	95	231	260	227	179	314	139
"g824.t1"	97	21	58	19	0	136	53	16	15	17	83	53
"g23823.t1"	406	445	289	261	214	193	331	259	270	225	348	230
"g12009.t1"	4	14	0	0	0	0	0	0	0	0	0	0
"g6884.t1"	0	0	7	0	0	0	0	0	0	0	0	5
"g13448.t1"	8426	9458	6721	7394	6785	8492	7164	5224	5955	6928	6689	7112
"g7756.t1"	20	16	21	17	4	11	103	36	79	79	0	46
"g21104.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g20420.t1"	30	22	42	12	3	20	67	96	14	148	62	98
"g18263.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g7189.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g19382.t1"	40	41	93	17	16	257	91	52	127	16	0	189
"g16574.t3"	124	239	131	125	93	55	204	232	44	172	0	154
"g16574.t2"	178	280	353	380	212	261	523	251	327	441	77	463
"g16574.t4"	155	0	226	175	141	57	176	0	382	108	0	0
"g21296.t1"	598	285	309	449	529	697	582	247	245	279	619	173
"g10204.t1"	11	28	17	0	0	14	74	39	31	61	27	60
"g15269.t1"	3358	383	1232	355	5745	5690	37	15	34	0	0	38
"g18050.t1"	62	342	409	6	11	561	40	100	74	24	102	81
"g9630.t1"	121	80	121	195	87	137	298	328	409	304	241	129
"g6782.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g21294.t1"	32	138	126	12	37	48	386	214	104	160	210	327
"g2359.t1"	82	116	89	134	49	20	365	146	94	184	264	165
"g6354.t1"	2310	1579	1210	2952	2307	1697	1679	1158	1307	1526	3463	1201
"g19734.t1"	109	25	63	28	49	19	68	4	0	89	57	100
"g10192.t1"	1875	1202	1395	1555	989	916	1474	1009	1289	1160	1128	857
"g23191.t1"	203	256	202	81	59	122	565	311	254	435	374	398
"g16644.t1"	579	353	815	1247	700	523	6243	4194	4970	7440	6584	4170
"g9632.t1"	74	113	101	113	31	83	326	269	247	273	258	250
"g3553.t1"	1744	1019	2289	1589	5584	556	12446	4945	7305	5817	2614	1830
"g22532.t1"	14024	8617	7467	12567	11830	10919	8980	8669	8385	5583	5532	5691
"g6322.t1"	131	151	164	115	74	84	338	154	175	180	91	217
"g5736.t2"	12	7	7	22	0	0	10	0	9	3	0	8
"g5736.t3"	0	0	4	0	1	0	28	0	0	0	0	7
"g5736.t1"	243	232	251	252	67	49	478	62	62	155	0	156
"g1406.t1"	0	0	0	0	0	0	0	0	0	2	0	5
"g16090.t1"	481	654	386	61	101	213	257	179	87	118	225	198
"g6965.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g15208.t1"	301	644	222	14	0	204	115	70	20	17	0	85
"g13691.t1"	85	33	76	111	51	64	211	140	166	162	209	102
"g23084.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g16227.t1"	9	12	0	0	0	0	2	0	0	0	0	0
"g21778.t1"	1111	652	825	1641	1493	1494	1999	1649	1253	1255	1242	1114
"g2753.t1"	84	35	39	43	12	30	140	129	41	41	119	35
"g21778.t2"	410	396	426	2	3	392	4	8	1	8	0	8
"g22740.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g9223.t1"	56	115	123	12	20	23	177	206	123	234	92	152
"g11716.t1"	456	318	335	603	226	230	780	724	395	568	828	491
"g7173.t2"	0	0	0	0	0	0	0	0	0	0	0	0
"g15435.t1"	100	119	99	29	50	69	84	33	95	109	203	106
"g6633.t1"	9	8	34	0	8	38	6	6	23	0	12	10
"g17357.t1"	561	570	503	150	315	408	664	382	168	545	219	530
"g10206.t1"	2	0	8	0	0	0	1	8	5	0	0	11
"g12672.t1"	371	730	523	1222	744	665	207	227	268	218	152	243
"g21603.t1"	217	190	235	81	158	160	201	102	147	289	87	199
"g3186.t1"	0	0	4	0	0	5	0	0	0	0	0	0
"g9221.t1"	135	604	707	235	48	1394	359	227	225	195	40	195
"g12425.t1"	391	93	310	91	312	533	184	162	160	256	0	175
"g23086.t1"	25	4	39	20	0	19	56	6	0	10	0	8
"g19856.t1"	126	71	176	105	120	35	1567	1383	1271	1232	842	1077
"g19103.t1"	11	6	17	0	0	56	36	7	15	0	0	36
"g14047.t1"	16919	1224	3430	3023	4968	7629	315	434	529	111	155	298
"g17355.t1"	90	114	86	31	54	75	145	28	8	70	49	144
"g14529.t1"	57	156	99	25	4	43	149	154	46	188	41	127
"g22215.t1"	104	141	138	115	36	53	97	95	287	81	0	55
"g22258.t1"	67	160	10	8	34	35	22	0	0	7	0	0
"g14281.t1"	148	467	174	131	64	104	318	150	188	133	49	141
"g3551.t1"	115	77	31	345	135	41	232	208	128	270	399	197
"g10323.t1"	1486	1774	1690	1696	658	1045	2184	1559	1613	1617	3027	1444
"g17414.t1"	663	580	603	537	211	185	2629	2141	926	2070	1580	1436
"g14283.t1"	43	28	37	34	21	24	37	19	39	35	110	25
"g412.t1"	0	0	0	0	0	0	3	0	0	0	0	0
"g16580.t1"	134	150	129	39	24	172	273	174	178	180	194	206
"g20325.t1"	735	268	465	495	548	575	936	449	696	779	953	491
"g2899.t1"	2	1	4	1	1	1	5	4	10	2	3	1
"g7503.t1"	12	15	10	0	10	14	24	9	0	6	0	33
"g10017.t1"	1727	1102	2042	1409	1943	1741	695	436	425	372	413	273
