Sample	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads
PSC-19_R1_001	292.01	19.87296342325551	4664140.0
PSC-23_R1_001	298.851	21.068404820566073	4973675.0
PSC-24_R1_001	294.531	19.88613255276511	4523808.0
PSC-34_R1_001	278.659	2.7590859246964006	783115.0
PSC-35_R1_001	266.34	3.0319094050412767	799810.0
PSC-36_R1_001	270.083	5.4414974217663845	1157828.0
PSC-37_R1_001	284.281	2.3627946097031893	405314.0
PSC-38_R1_001	253.906	1.8241342963900322	517415.0
PSC-39_R1_001	231.687	2.5528284847552385	577742.0
PSC-40_R1_001	283.418	2.699108469574499	570929.0
PSC-42_R1_001	306.015	20.256027502383557	4214067.0
PSC-43_R1_001	301.132	21.645109729261176	4784858.0
PSC-48_R1_001	283.334	17.652252351420863	3402893.0
PSC-49_R1_001	291.123	18.71731781735068	4090632.0
PSC-52_R1_001	294.544	20.72773431630098	4579511.0
PSC-54_R1_001	277.329	19.99434634168932	5016925.0
PSC-56_R1_001	308.953	20.83674229267469	4333654.0
PSC-57_R1_001	319.029	22.022795444113534	4951482.0
PSC-58_R1_001	301.906	19.805856585740173	4456474.0
PSC-59_R1_001	301.481	19.27396453835599	4331158.0
PSC-61_R1_001	303.521	18.246479916657254	3627983.0
PSC-63_R1_001	321.735	18.525267496324776	3951944.0
PSC-64_R1_001	301.577	20.85364724794526	5026042.0
PSC-67_R1_001	286.614	19.183756372329544	4705452.0
PSC-69_R1_001	312.61	15.843764577681243	3612760.0
PSC-71_R1_001	313.068	20.98167286738964	5581151.0
PSC-73_R1_001	302.037	18.22868025646243	4587875.0
PSC-75_R1_001	299.294	9.945915192540339	2423991.0
PSC-76_R1_001	304.964	19.164580660324138	4297318.0
PSC-78_R1_001	279.951	15.616828130827065	3351738.0
PSC-81_R1_001	295.345	19.458716134792542	5029421.0
PSC-83_R1_001	284.186	20.11340772750948	5126725.0
