Sample	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
PSC-0085-hisat	76.23
PSC-0087-hisat	76.57
PSC-0090-hisat	75.3
PSC-0093-hisat	77.79
PSC-0095-hisat	79.53
PSC-0096-hisat	79.79
PSC-0099-hisat	77.74
PSC-0105-hisat	78.83
PSC-0118-hisat	78.24
PSC-0119-hisat	79.35
PSC-0132-hisat	76.94
PSC-0141-hisat	78.03
PSC-0149-hisat	77.71
PSC-0150-hisat	64.6
PSC-0156-hisat	74.76
PSC-0174-hisat	80.67
PSC-0177-hisat	77.98
PSC-0186-hisat	74.86
PSC-0187-hisat	77.8
PSC-0188-hisat	78.29
PSC-0190-hisat	80.51
PSC-0198-hisat	73.95
PSC-0202-hisat	75.84
PSC-0203-hisat	73.65
PSC-0206-hisat	78.92
PSC-0209-hisat	73.47
PSC-0217-hisat	75.06
PSC-0219-hisat	78.04
PSC-0228-hisat	80.29
PSC-0230-hisat	78.41
PSC-0231-hisat	80.88
PSC-0235-hisat	78.37
