Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
PSC-0085-hisat	14265796	14265796	4336323	9478558	450915	48609	6781808	1683641	109979	76.23	54989.5	3390904.0	841820.5
PSC-0087-hisat	13231769	13231769	3843832	9154280	233657	41445	6200659	1336347	67768	76.57	33884.0	3100329.5	668173.5
PSC-0090-hisat	12292061	12292061	3769883	8281285	240893	34790	6072459	1324875	72852	75.3	36426.0	3036229.5	662437.5
PSC-0093-hisat	14089912	14089912	3996080	9813710	280122	49361	6259656	1550767	83015	77.79	41507.5	3129828.0	775383.5
PSC-0095-hisat	15941170	15941170	4320688	11302664	317818	60095	6527699	1885890	107597	79.53	53798.5	3263849.5	942945.0
PSC-0096-hisat	18058496	18058496	4831615	12848457	378424	68901	7298362	2110646	116420	79.79	58210.0	3649181.0	1055323.0
PSC-0099-hisat	17575211	17575211	5054304	12137434	383473	54862	7825456	2052780	120648	77.74	60324.0	3912728.0	1026390.0
PSC-0105-hisat	17744546	17744546	4967932	12424811	351803	63802	7512139	2184147	111974	78.83	55987.0	3756069.5	1092073.5
PSC-0118-hisat	16937726	16937726	4728455	11820246	389025	53841	7371302	1877368	100558	78.24	50279.0	3685651.0	938684.0
PSC-0119-hisat	17081950	17081950	4650338	12135978	295634	57812	7054739	2032546	97767	79.35	48883.5	3527369.5	1016273.0
PSC-0132-hisat	16239950	16239950	4802143	11118242	319565	57894	7490478	1894300	103720	76.94	51860.0	3745239.0	947150.0
PSC-0141-hisat	16673757	16673757	4654518	11667845	351394	59265	7326880	1764254	99372	78.03	49686.0	3663440.0	882127.0
PSC-0149-hisat	16279813	16279813	4675703	11150343	453767	68391	7257830	1850765	106029	77.71	53014.5	3628915.0	925382.5
PSC-0150-hisat	11873325	11873325	5222983	6046928	603414	35014	8406117	1727071	242750	64.6	121375.0	4203058.5	863535.5
PSC-0156-hisat	15310964	15310964	4997283	9797600	516081	51406	7727565	1960628	203561	74.76	101780.5	3863782.5	980314.0
PSC-0174-hisat	15207107	15207107	3886320	10848945	471842	53005	5877918	1669027	119685	80.67	59842.5	2938959.0	834513.5
PSC-0177-hisat	13083654	13083654	3726858	9049217	307579	42502	5762353	1512262	94097	77.98	47048.5	2881176.5	756131.0
PSC-0186-hisat	14208012	14208012	4473238	9454323	280451	41974	7144448	1628032	90048	74.86	45024.0	3572224.0	814016.0
PSC-0187-hisat	13653774	13653774	3855734	9514635	283405	47674	6061111	1466091	88918	77.8	44459.0	3030555.5	733045.5
PSC-0188-hisat	13847004	13847004	3739373	9832057	275574	43426	6013437	1311857	66600	78.29	33300.0	3006718.5	655928.5
PSC-0190-hisat	15852803	15852803	3953360	11508043	391400	62737	6179856	1513924	87466	80.51	43733.0	3089928.0	756962.0
PSC-0198-hisat	14205466	14205466	4649869	9180711	374886	51064	7401542	1658160	137908	73.95	68954.0	3700771.0	829080.0
PSC-0202-hisat	15668808	15668808	4699555	10685278	283975	46985	7569859	1642812	92469	75.84	46234.5	3784929.5	821406.0
PSC-0203-hisat	14688835	14688835	4742877	9669264	276694	41941	7739869	1573824	88179	73.65	44089.5	3869934.5	786912.0
PSC-0206-hisat	13441538	13441538	3626721	9469722	345095	45516	5666944	1405065	90401	78.92	45200.5	2833472.0	702532.5
PSC-0209-hisat	19010874	19010874	5675196	12902484	433194	31463	10087561	1110701	89204	73.47	44602.0	5043780.5	555350.5
PSC-0217-hisat	15364538	15364538	4707710	10341369	315459	40213	7663781	1579129	92084	75.06	46042.0	3831890.5	789564.5
PSC-0219-hisat	14163596	14163596	3992135	9908031	263430	48589	6221127	1579123	86842	78.04	43421.0	3110563.5	789561.5
PSC-0228-hisat	18582788	18582788	4801255	13374395	407138	69323	7324495	2019326	120043	80.29	60021.5	3662247.5	1009663.0
PSC-0230-hisat	18081378	18081378	5065029	12652581	363768	58240	7805742	2089680	118156	78.41	59078.0	3902871.0	1044840.0
PSC-0231-hisat	18805201	18805201	4720931	13687986	396284	77918	7189822	2007956	88248	80.88	44124.0	3594911.0	1003978.0
PSC-0235-hisat	20106307	20106307	5635911	14044881	425515	63504	8698702	2322668	123444	78.37	61722.0	4349351.0	1161334.0
