baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g15181.t1	1465.30619627947	-1.40390847475992	0.379953473626933	-3.69494838765018	0.000219931457566716	0.0453268261118451
g14601.t1	49.8215686522484	6.47369139344767	1.60820467047606	4.02541511804671	5.68748937108203e-05	0.0228980967423656
g15820.t1	62.4955934096241	2.98953298902161	0.691587487320715	4.32271121706291	1.54123414004068e-05	0.0116008023619062
g6847.t1	373.467391139753	-0.632732540464436	0.170669688719601	-3.70735158194362	0.000209438086191896	0.0442169774165134
g13468.t1	72.1781496985923	5.68583013719122	0.967821205575697	5.87487658302452	4.23158485692951e-09	3.66285985215818e-05
g23108.t1	741.752063026949	-1.87713538493344	0.447882252979838	-4.19113588994549	2.77561347550044e-05	0.0165694553406426
g9311.t1	41.7313996333385	-3.96847761843713	0.819072292634563	-4.84508834461051	1.26555352982063e-06	0.00199175115529588
g11651.t4	19.5390931354885	7.29276415547827	1.3256957430155	5.50108438825468	3.77462480963576e-08	0.000217821015681381
g3332.t2	19.0425436444327	7.41682225580688	1.39912764008655	5.30103333198968	1.15149061056669e-07	0.000427579443239329
g746.t1	2004.93515877118	-1.1731748131811	0.30989272993377	-3.78574487188463	0.000153248841652838	0.0344551161908303
g23104.t1	446.666542745857	-2.0764213435457	0.489106548812948	-4.24533539488509	2.18266691322582e-05	0.0151145318407062
g23106.t1	182.772022434325	-1.92039169061438	0.500609232857741	-3.83610921367105	0.000124998838896828	0.030913998556884
g23587.t1	9.30673832533753	2.63290157119901	0.638359174455571	4.12448301294408	3.71568412874103e-05	0.018735627206684
g1326.t1	1430.04272183077	5.5713164838219	1.22446996295293	4.54998215749295	5.36504646647878e-06	0.00541781404902809
g17719.t1	75.110351073196	2.17096001233427	0.539312303224801	4.02542274550958	5.68730501104046e-05	0.0228980967423656
g13972.t1	68.907761938278	6.06199136090701	1.182483296418	5.12649217056183	2.95190326270493e-07	0.000778863192339066
g15793.t1	43.4380780653434	2.4450481454138	0.508161240216125	4.81155970174723	1.49756984924686e-06	0.00199430224847398
g13330.t1	11.7288781933166	2.93510558015381	0.697187139375583	4.20992501781166	2.55455455371377e-05	0.0160155103058813
g17510.t1	10.9195838397839	4.09866865661355	1.03354425304895	3.96564408782935	7.3198017806374e-05	0.0253440816852789
g18244.t1	109.975492882432	-2.10644931763341	0.534911347842104	-3.93794098055889	8.21838014730582e-05	0.025868472201847
g3275.t1	9.42102267833663	2.61795847371937	0.661184853700187	3.95949553149698	7.51082497058169e-05	0.0254955689981785
g7738.t1	105.270852696061	1.45561495052598	0.395757597257021	3.67804676553221	0.00023502687455897	0.0478680617925282
g7540.t1	29.9372697216083	3.27242252287004	0.856557340615625	3.82043602652227	0.000133215956508008	0.0319115773515419
g23102.t1	290.629996402288	-2.04002457186818	0.534794364724866	-3.81459623815914	0.000136405771950907	0.0319115773515419
g22928.t1	14.6400998297497	4.08741806428358	1.05416676731388	3.87739225995402	0.000105582057833985	0.0281300369237359
g16019.t1	607.441005018213	3.38970285641531	0.818880164112719	4.13943700796338	3.48159180253081e-05	0.018735627206684
g23109.t1	287.535399322978	-1.7946332024491	0.435120998561353	-4.1244463227073	3.71627644481845e-05	0.018735627206684
g17025.t1	1257.37120799715	-1.58675663111644	0.406015076061421	-3.90812244340503	9.30161654091966e-05	0.0263982927141641
g21236.t1	219.949978147242	6.45489025285383	1.49101846946422	4.3291819551862	1.49664241660559e-05	0.0116008023619062
g1727.t1	5.68265998871012	5.56089837442946	1.41587192600436	3.9275433549435	8.58179545249754e-05	0.0263573916146303
g11893.t1	20.2370579723818	3.18987137771244	0.799590713313792	3.98938022240461	6.62461603153153e-05	0.0238927818203904
g23110.t1	96.3850362125322	-1.8547599698476	0.477965353820281	-3.88053224992747	0.000104228122768381	0.0281300369237359
g22869.t1	53.9742328169028	2.49957857669184	0.606685709967711	4.12005513831019	3.78781742279309e-05	0.018735627206684
g290.t2	1220.73386549763	-1.1377000483768	0.299856361614238	-3.79415011324801	0.000148150028746874	0.0337470170745511
g7003.t1	34.3251823341985	-4.10913290355383	1.04815362445683	-3.92035366541163	8.84191131489586e-05	0.0263573916146303
g12021.t1	4805.47555075692	-1.83978368802347	0.474173616379748	-3.87997902976968	0.000104465470960482	0.0281300369237359
g9649.t1	3258.53072822551	-2.25489615390181	0.557241815523436	-4.04653077189426	5.19822940457549e-05	0.0219492066956124
g1053.t1	32.1335143273115	1.75491602228877	0.464934666150066	3.77454328544806	0.000160301073853969	0.0351282555767078
g18243.t1	45.970862883937	-1.66770461075685	0.450812825162386	-3.69932823041611	0.000216170885693027	0.0450885587122612
g23103.t1	87.6298203422741	-2.05805763189069	0.520986167763272	-3.95031146551637	7.80495582468927e-05	0.0255567539818358
g23670.t1	62.411212338329	5.11332043433587	1.25456354833551	4.07577634558247	4.58610821721607e-05	0.0207349987957322
g11068.t1	12.7763968288542	1.93300096433767	0.493779969040928	3.91470105215517	9.05162870668568e-05	0.0263573916146303
g1749.t1	47.1592959011449	-3.86969596820367	0.965981888300404	-4.00597155606323	6.17630817839369e-05	0.0232444015618156
g22445.t1	388.804573203185	-0.849493923408036	0.220291513932604	-3.85622627146649	0.000115150907303173	0.0293160662828313
g8977.t1	43.4989392640091	4.94304185417918	0.982788407611691	5.0296094417632	4.91479909541189e-07	0.00092895127145199
g23378.t1	100.2213582271	7.76498949093218	1.52583192847692	5.08902019024021	3.59918295905298e-07	0.000778863192339066
g8557.t1	96.2907682947193	1.05108910608391	0.276307563356843	3.80405477618601	0.000142346681908349	0.0328574100959644
