library_ID,star_ID,star_size,star_collection_date,star_collection_location,star_radius_cm,star_diameter_cm,inoc_date,sample_date,experiment_number,exposure_history,treatment_group,experiment_day,disease_sign,number_arms_dropped,number_arm_twist,number_arms_crossed,star_death_date,notes
PSC-83,H07,large,7/29/21,DallasBank,15,30,10/5/21,10/18/21,B,na,unfilteredlive,13,armcross,0,0,6,10/18/21,censored 10/18/21
PSC-0085,6,large,5/27/22,Dallas Bank,,,6/21/22,6/21/22,C,na,exposed,0,healthy,0,0,0,,
PSC-0087,31,large,5/27/22,Dallas Bank,,,6/21/22,6/21/22,C,na,control,0,healthy,0,0,0,,
PSC-0090,27,large,5/27/22,Dallas Bank,,,6/21/22,6/21/22,C,na,control,0,healthy,0,0,0,,
PSC-0093,13,large,5/27/22,Dallas Bank,,,6/21/22,6/21/22,C,na,exposed,0,healthy,0,0,0,,
PSC-0095,10,large,5/27/22,Dallas Bank,,,6/21/22,6/21/22,C,na,exposed,0,healthy,0,0,0,,
PSC-0096,4,large,5/27/22,Dallas Bank,,,6/21/22,6/21/22,C,na,control,0,healthy,0,0,0,,
PSC-0099,28,large,5/27/22,Dallas Bank,,,6/21/22,6/21/22,C,na,exposed,0,healthy,0,0,0,,
PSC-0105,23,large,5/27/22,Dallas Bank,,,6/21/22,6/21/22,C,na,control,0,healthy,0,0,0,,
PSC-0118,60,small,6/3/22,Langley Dock,,,6/21/22,6/21/22,C,na,control,0,healthy,0,0,0,,
PSC-0119,63,small,6/3/22,Langley Dock,,,6/21/22,6/21/22,C,na,control,0,healthy,0,0,0,,
PSC-0132,55,small,6/3/22,Baby Island,,,6/21/22,6/21/22,C,na,control,0,healthy,0,0,0,,
PSC-0141,44,small,6/3/22,Langley Dock,,,6/21/22,6/21/22,C,na,exposed,0,healthy,0,0,0,,
PSC-0149,28,large,5/27/22,Dallas Bank,,,6/21/22,6/29/22,C,na,exposed,8,armdrop,1,,,,
PSC-0150,6,large,5/27/22,Dallas Bank,,,6/21/22,6/29/22,C,na,exposed,8,armdrop,4,,,,
PSC-0156,28,large,5/27/22,Dallas Bank,,,6/21/22,6/30/22,C,na,exposed,9,secondarmdrop,,,,,
PSC-0174,30,large,5/27/22,Dallas Bank,,,6/21/22,7/1/22,C,na,exposed,10,armdrop,6,,,,
PSC-0177,34,small,6/3/22,Langley Dock,,,6/21/22,7/2/22,C,na,control,11,healthy,0,0,0,,
PSC-0186,15,large,5/27/22,Dallas Bank,,,6/21/22,7/2/22,C,na,control,11,healthy,0,0,0,,
PSC-0187,57,small,6/3/22,Baby Island,,,6/21/22,7/2/22,C,na,exposed,11,armdrop,?,,,,stretching
PSC-0188,38,small,6/3/22,Langley Dock,,,6/21/22,7/2/22,C,na,exposed,11,armdrop,,,,,stretching
PSC-0190,10,large,5/27/22,Dallas Bank,,,6/21/22,7/2/22,C,na,exposed,11,armdrop,,,,,
PSC-0198,38,small,6/3/22,Langley Dock,,,6/21/22,7/3/22,C,na,exposed,12,armdrop,4,,,,
PSC-0202,4,large,5/27/22,Dallas Bank,,,6/21/22,7/3/22,C,na,control,12,healthy,0,0,0,,
